Customer ID,Name,Email,Phone,Province,City,Loyalty Points
C1001,Aarav Sharma,aarav.s@email.com,9804567890,Bagmati,Kathmandu,150
C1002,Sita Tamang,sita.t@email.com,9861561234,Gandaki,Pokhara,100
C1003,Bijay Thapa,bijay.t@email.com,9871550123,Lumbini,Butwal,280
C1004,Priya Rai,priya.r@email.com,9821460789,Province 1,Biratnagar,65
C1005,Amit Shrestha,amit.s@email.com,9815551212,Bagmati,Lalitpur,195
C1006,Sunita Gurung,sunita.g@email.com,9891521000,Sudurpashchim,Dhangadhi,95
C1007,Dipak Karki,dipak.k@email.com,9883520567,Karnali,Birendranagar,250
C1008,Gita Poudel,gita.p@email.com,9816612345,Bagmati,Bhaktapur,130
C1009,Ramesh Adhikari,ramesh.a@email.com,9814445678,Bagmati,Kathmandu,155
C1010,Sarita Limbu,sarita.l@email.com,9824421234,Province 1,Dharan,150
